半导体	semiconductor
玻璃	grass
畜牧业	Animal husbandry
船舶与海洋装备	Ship and Marine Equipment
电机	Motor
电力	electricity
电源设备	Power supply
电子器件	Electronic device
电子设备制造	Electronic equipment manufacturing
电子元件	Electronic component
房地产开发	Real estate development
纺织	Textile
非银行金融	Non-bank finance
服装家纺	Clothing home textiles
钢结构	Steel structure
钢铁	Steel
港口航运	Port shipping
公路铁路	Road rail
光电子器件	Optoelectronic device
广播电视	Broadcasting
轨道交通设备	Rail transit equipment
贵金属	Precious metals
航空航天装备	Aerospace equipment
航空机场	Aviation Airport
合成纤维及树脂	Synthetic fiber and resin
互联网服务	Internet service
互联网技术	Internet technology
互联网商务	Internet business
化肥农药	Fertilizers and pesticides
化学新材料	New chemical materials
化学原料	Chemical materials
化学制品	chemicals
化学制药	Chemical and pharmaceutical
环保	environmental Protection
机器人	robot
基本金属	Basic metal
基础建设	Infrastructure
计算机软件	computer software
计算机硬件	Computer hardware
家具	furniture
建筑施工	Building Construction
教育	educate
金属非金属新材料	Metal and non-metal new materials
金属制品	metal products
林业	forestry
零售	retail
贸易	trading
煤炭	coal
耐火材料	Refractory
农业	agriculture
平面媒体	Print Media
其他电气设备	Other electrical equipment
其他家电	Other home appliances
其他建材	Other building materials
其他交运设备	Other delivery equipment
其他轻工	Other light industry
汽车	car
燃气	Gas
商业物业经营	Commercial property management
生物医药	biomedicine
石油天然气	Petroleum gas
食品	food
视听器材	Audiovisual equipment
输变电设备	Transmission and transformation equipment
水泥	cement
水务	Water affairs
陶瓷	ceramics
铁矿石	Iron ore
铁路设备	Railway equipment
通信设备	communication device
通用设备	General Equipment
卫星应用	Satellite application
文娱用品	Entertainment supplies
物流	logistics
稀有金属	Rare metals
橡胶制品	rubber products
消费电子设备	Consumer electronics
小家电	home appliances
休闲服务	Leisure service
医疗服务	medical service
医疗器械	medical instruments
医药商业	Pharmaceutical business
银行	Bank
饮料	Drink
营销服务	Marketing service
影视动漫	Movie and animation
渔业	Fishery
造纸印刷	Paper printing
照明设备	lighting device
中药生产	Traditional Chinese Medicine Production
珠宝首饰	Jewelry
专业服务	professional service
专用设备	Professional setting
装修装饰	Decoration
综合	comprehensive

"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","weight","白色家电","半导体",0.373258790283227,1,"0.37326","ns","Wilcoxon"
"2","weight","白色家电","玻璃",2.08910356432611e-09,6.4e-06,"2.1e-09","****","Wilcoxon"
"3","weight","白色家电","畜牧业",2.17628532791607e-10,6.8e-07,"2.2e-10","****","Wilcoxon"
"4","weight","白色家电","船舶与海洋装备",0.0230534969142922,1,"0.02305","*","Wilcoxon"
"5","weight","白色家电","电机",0.0028798515622368,1,"0.00288","**","Wilcoxon"
"6","weight","白色家电","电力",4.53533415209802e-19,1.6e-15,"< 2e-16","****","Wilcoxon"
"7","weight","白色家电","电源设备",6.28427198339713e-66,2.7e-62,"< 2e-16","****","Wilcoxon"
"8","weight","白色家电","电子器件",0.181593304275069,1,"0.18159","ns","Wilcoxon"
"9","weight","白色家电","电子设备制造",2.3706221957664e-48,9.8e-45,"< 2e-16","****","Wilcoxon"
"10","weight","白色家电","电子元件",5.60577403645818e-06,0.015,"5.6e-06","****","Wilcoxon"
"11","weight","白色家电","房地产开发",0.0356978158782035,1,"0.03570","*","Wilcoxon"
"12","weight","白色家电","纺织",0.766074845672731,1,"0.76607","ns","Wilcoxon"
"13","weight","白色家电","非银行金融",0.676754967624137,1,"0.67675","ns","Wilcoxon"
"14","weight","白色家电","服装家纺",1.79441957594414e-45,7.4e-42,"< 2e-16","****","Wilcoxon"
